date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:51	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Mar%202023%2012:23:51%20GMT	https://highcourtchd.gov.in/robots.txt		(from )
17:53:52	440434/440434	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2012:23:51%20GMT	https://highcourtchd.gov.in/?trs=archive_tender	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/index23ef.html	(from )
17:53:53	26686/26686	---M--	200	added ('OK')	image/gif	etag:%22683e-549e3aedc229d%22	https://highcourtchd.gov.in/favicon.gif	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/favicon.gif	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:53	23197/23197	---M--	200	added ('OK')	text/css	etag:%225a9d-5f543907e6315%22	https://highcourtchd.gov.in/css/style.css	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/css/style.css	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:53	7258/7258	---M--	200	added ('OK')	application/javascript	etag:%221c5a-55e679855cd3b%22	https://highcourtchd.gov.in/js/dist_chooser.js	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/js/dist_chooser.js	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:53	6138/6138	---M--	200	added ('OK')	text/css	etag:%2217fa-5bb201475d5d0%22	https://highcourtchd.gov.in/css/menu.css	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/css/menu.css	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:53	2309/2309	---M--	200	added ('OK')	text/css	etag:%22905-5f5439e87050c%22	https://highcourtchd.gov.in/css/orange.css	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/css/orange.css	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:54	2450/2450	---M--	200	added ('OK')	text/css	etag:%22992-549e48dc1be10%22	https://highcourtchd.gov.in/css/ticker.css	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/css/ticker.css	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:54	2677/2677	---M--	200	added ('OK')	text/css	etag:%22a75-570d9adaefa10%22	https://highcourtchd.gov.in/css/judgment.css	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/css/judgment.css	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:54	97100/97100	---M--	200	added ('OK')	application/javascript	etag:%2217b4c-5d33bd9998b9b%22	https://highcourtchd.gov.in/js/jquery-1.12.4.min.js	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/js/jquery-1.12.4.min.js	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:54	4828/4828	---M--	200	added ('OK')	application/javascript	etag:%2212dc-549e3c82f934e%22	https://highcourtchd.gov.in/js/jquery.totemticker.js	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/js/jquery.totemticker.js	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:54	228/228	---M--	200	added ('OK')	application/javascript	etag:%22e4-549e3c837dc67%22	https://highcourtchd.gov.in/js/judgment.js	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/js/judgment.js	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:55	243/243	---M--	200	added ('OK')	application/javascript	etag:%22f3-549e3c84303e0%22	https://highcourtchd.gov.in/js/news-ticker.js	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/js/news-ticker.js	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:55	23318/23318	---M--	200	added ('OK')	application/javascript	etag:%225b16-5bcff2426492b%22	https://highcourtchd.gov.in/js/gigw.js	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/js/gigw.js	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:55	1119/1119	---M--	200	added ('OK')	image/png	etag:%2245f-549e3ce890167%22	https://highcourtchd.gov.in/images/hc-logo.png	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/images/hc-logo.png	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:56	78722/78722	---M--	200	added ('OK')	application/pdf	etag:%2213382-54a09ed2f454e%22	https://highcourtchd.gov.in/sub_pages/top_menu/case_information/CASE_TYPE.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/top_menu/case_information/CASE_TYPE.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:56	44807/44807	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2012:23:55%20GMT	https://highcourtchd.gov.in/gallery.php	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/gallery.html	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:56	7793/7793	---M--	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2012:23:56%20GMT	https://highcourtchd.gov.in/clc.php	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/clc.html	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:56	311674/311674	---M--	200	added ('OK')	application/pdf	etag:%224c17a-5f714f7abcd41%22	https://highcourtchd.gov.in/sub_pages/top_menu/case_information/Roster_crnt.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/top_menu/case_information/Roster_crnt.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:56	173967/173967	---M--	200	added ('OK')	application/pdf	etag:%222a78f-5f41a832c8d73%22	https://highcourtchd.gov.in/sub_pages/top_menu/case_information/objection_civil.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/top_menu/case_information/objection_civil.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:57	162763/162763	---M--	200	added ('OK')	application/pdf	etag:%2227bcb-5f41a832c3b6a%22	https://highcourtchd.gov.in/sub_pages/top_menu/case_information/objection_crl.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/top_menu/case_information/objection_crl.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:57	52665/52665	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2012:23:56%20GMT	https://highcourtchd.gov.in/?trs=sjdfkdjfs	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/indexd10b.html	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:57	158888/158888	---M--	200	added ('OK')	application/pdf	etag:%2226ca8-5f41a83293dc6%22	https://highcourtchd.gov.in/sub_pages/top_menu/case_information/objection_writ.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/top_menu/case_information/objection_writ.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:57	49657/49657	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2012:23:56%20GMT	https://highcourtchd.gov.in/?trs=screen_r_access	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/index5164.html	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:57	1969/1969	---M--	200	added ('OK')	image/png	etag:%227b1-54f285e69516b%22	https://highcourtchd.gov.in/images/viewall.png	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/images/viewall.png	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:58	671/671	---M--	200	added ('OK')	image/png	etag:%2229f-549e3ce44a55f%22	https://highcourtchd.gov.in/images/down.png	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/images/down.png	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:58	60088/60088	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2012:23:57%20GMT	https://highcourtchd.gov.in/?trs=history	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/indexb73c.html	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:58	672/672	---M--	200	added ('OK')	image/png	etag:%222a0-549e3cf54d52e%22	https://highcourtchd.gov.in/images/up.png	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/images/up.png	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:58	4436789/4436789	---M--	200	added ('OK')	application/pdf	etag:%2243b335-5f703d9d725c9%22	https://highcourtchd.gov.in/sub_pages/top_menu/dist_jud/pdf/Haryana_Gradation1.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/top_menu/dist_jud/pdf/Haryana_Gradation1.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
17:53:59	510441/510441	---M--	200	added ('OK')	application/pdf	etag:%227c9e9-5f4bb4c0aca5a%22	https://highcourtchd.gov.in/sub_pages/left_menu/Rules_orders/highcourt_estt_rules_1973.pdf	C:/My%20Web%20Sites/pdf/highcourtchd.gov.in/sub_pages/left_menu/Rules_orders/highcourt_estt_rules_1973.pdf	(from https://highcourtchd.gov.in/?trs=archive_tender)
